"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"19","RT @mrstevenbram: After the cancelled #BritishAirways flights our weekend away turned into a staycation birthday - few days in and back boo…",FALSE,0,NA,2018-03-28 10:54:29,FALSE,NA,"978948436488871936",NA,"<a href=""http://racheljones2017.com"" rel=""nofollow"">racheljones2017</a>","jachel1980jones",2,TRUE,FALSE,NA,NA
"20","RT @Milesintheair: A lovely thick chunk of fresh smoked Seared Tuna followed by a spicy panfried snapper &amp; some map watching! #BritishAirwa…",FALSE,0,NA,2018-03-28 10:50:36,FALSE,NA,"978947458058240001",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","skyhighdining",1,TRUE,FALSE,NA,NA
"21","RT @Milesintheair: No #BritishAirways #redeye flight is complete without an #EnglishBreakfast! It's a mixed grill of an #omelette, #bacon a…",FALSE,0,NA,2018-03-28 10:50:32,FALSE,NA,"978947442308608000",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","skyhighdining",1,TRUE,FALSE,NA,NA
"22","RT @mrstevenbram: After the cancelled #BritishAirways flights our weekend away turned into a staycation birthday - few days in and back boo…",FALSE,0,NA,2018-03-28 10:40:13,FALSE,NA,"978944845636096001",NA,"<a href=""http://www.flightrefunds.org.uk"" rel=""nofollow"">retweet089000001</a>","Flight_Refunds",2,TRUE,FALSE,NA,NA
"23","After the cancelled #BritishAirways flights our weekend away turned into a staycation birthday - few days in and ba… https://t.co/AtWnTPO647",FALSE,3,NA,2018-03-28 10:34:31,TRUE,NA,"978943408457834497",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mrstevenbram",2,FALSE,FALSE,NA,NA
"24","RT @GuessEmojis: <U+2708><U+FE0F> Airline Guess <U+2708><U+FE0F> https://t.co/k34mHqx1nl #Airlines #Flights #Gatwick #Heathrow #RyanAir #Delta #EasyJet #BritishAirways…",FALSE,0,NA,2018-03-28 10:34:08,FALSE,NA,"978943312357937152",NA,"<a href=""https://discoveringmypath.wixsite.com/discoveringmypath"" rel=""nofollow"">readysetgame</a>","ReadySetGame3",10,TRUE,FALSE,NA,NA
"25","RT @quotethisprojuk: #Contractors...Homeowners...
#WIN a 500£ gift voucher at B&amp;Q
 
How? Follow us and Retweet to be entered. 
Next winner…",FALSE,0,NA,2018-03-28 10:16:57,FALSE,NA,"978938988688965632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","littlestar1979",310,TRUE,FALSE,NA,NA
"26","RT @quotethisprojuk: #Contractors...Homeowners...
#WIN a 500£ gift voucher at B&amp;Q
 
How? Follow us and Retweet to be entered. 
Next winner…",FALSE,0,NA,2018-03-28 09:57:01,FALSE,NA,"978933971148066816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Missjotrick",310,TRUE,FALSE,NA,NA
"27","RT @troublestravels: Delayed inbound and outbound flights to and from Prague this weekend and now we have a text to say our flight to Las V…",FALSE,0,NA,2018-03-28 09:47:38,FALSE,NA,"978931612028153856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tingles_87",4,TRUE,FALSE,NA,NA
"28","@British_Airways What do I have to do to make a booking? It's a work trip and I'm near tears. Over two hours wasted… https://t.co/g2lnSNiMqB",FALSE,1,"British_Airways",2018-03-28 09:47:24,TRUE,NA,"978931553618354176","18332190","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sandraanani",0,FALSE,FALSE,NA,NA
